id,sha,author_date,status,score,updated_at
Blue-02,f8db3a5...994,2020-02-01T01:09:41Z,new,,2020-02-01 01:17:02.014 UTC
Blue-02,127fc28...e94,2020-02-01T01:10:40Z,new,,2020-02-01 01:17:02.014 UTC
Blue-02,2d4bbdb...34f,2020-02-01T01:40:36Z,new,,2020-02-01 01:41:01.481 UTC
Blue-02,8f31ea3...00d,2020-02-01T02:06:12Z,new,,2020-02-01 02:07:01.986 UTC
Blue-02,3689364...c5f,2020-02-01T02:16:25Z,new,,2020-02-01 02:17:01.994 UTC
Blue-08,3a0a570...496,2020-01-30T00:42:20Z,new,,2020-01-30 00:45:02.284 UTC
Blue-08,c150268...c25,2020-01-30T00:51:35Z,new,,2020-01-30 00:54:02.665 UTC
Blue-08,0b6615b...cb9,2020-01-30T00:57:06Z,new,,2020-01-30 01:00:01.277 UTC
Yellow-08,e16a234...ecb,2020-01-31T03:11:30Z,new,,2020-01-31 03:13:01.810 UTC
Yellow-10,81565fc...880,2020-02-05T23:28:03Z,new,,2020-02-05 23:29:02.190 UTC
Yellow-02,2ea475e...269,2020-02-05T20:37:57Z,new,,2020-02-05 20:39:02.194 UTC
Yellow-00,88b092c...e32,2020-01-28T23:45:27Z,new,,2020-01-28 23:48:46.028 UTC
Yellow-00,4ce83d0...673,2020-01-28T23:55:47Z,new,,2020-01-28 23:56:00.923 UTC
Yellow-00,4532489...dd7,2020-01-29T00:19:54Z,new,,2020-01-29 00:20:07.213 UTC
Blue-12,58276a8...863,2020-02-01T23:46:02Z,new,,2020-02-01 23:47:02.329 UTC
Blue-12,10bd3f8...4a2,2020-02-02T03:02:12Z,new,,2020-02-02 03:03:02.650 UTC
Blue-12,e3e62e7...350,2020-02-03T00:01:37Z,new,,2020-02-03 00:59:02.175 UTC
Blue-12,2801df7...efb,2020-02-03T00:18:51Z,new,,2020-02-03 00:59:02.175 UTC
Blue-12,b330013...fce,2020-02-03T00:19:13Z,new,,2020-02-03 00:59:02.175 UTC
